,Unnamed: 0,x,y,pen,strokeID,sketchID,photoID
0,0,440.83334,101.73334,1,0,0,n02691156_10151
1,1,-40.23785,10.22382,2,0,0,n02691156_10151
2,2,-80.56483,33.14284,2,0,0,n02691156_10151
3,3,-97.856,32.81063,2,0,0,n02691156_10151
4,4,-34.97335,18.15869,2,0,0,n02691156_10151
5,5,-38.80136,27.43067,2,0,0,n02691156_10151
6,6,-8.37917,18.9,2,0,0,n02691156_10151
7,7,-0.02083,13.3,2,0,0,n02691156_10151
8,8,7.16933,12.91465,2,0,0,n02691156_10151
9,9,26.15216,15.28535,2,0,0,n02691156_10151
10,10,41.88917,-3.61065,2,0,0,n02691156_10151
11,11,166.90397,-104.95867,2,0,0,n02691156_10151
12,12,105.08539,-71.71469,2,0,0,n02691156_10151
13,13,0.74665,-4.716,2,0,0,n02691156_10151
14,14,-44.74664,1.716,2,0,0,n02691156_10151
15,15,-212.49998,-31.90165,1,1,0,n02691156_10151
16,16,18.69999,38.02835,2,1,0,n02691156_10151
17,17,18.59552,55.74751,2,1,0,n02691156_10151
18,18,-43.49551,-97.59019,1,2,0,n02691156_10151
19,19,-21.48934,6.61065,2,2,0,n02691156_10151
20,20,11.98932,39.81083,2,2,0,n02691156_10151
21,21,2.00001,65.37849,2,2,0,n02691156_10151
22,22,64.83335,55.03336,1,3,0,n02691156_10151
23,23,177.73468,17.15594,2,3,0,n02691156_10151
24,24,-0.56802,3.70623,1,4,0,n02691156_10151
25,25,-4.20001,22.3045,2,4,0,n02691156_10151
26,26,-85.34731,-0.00448999999998,2,4,0,n02691156_10151
27,27,-49.91098,-5.01633,2,4,0,n02691156_10151
28,28,-58.34164,-17.94318,2,4,0,n02691156_10151
29,29,-31.0785,-4.25751,2,4,0,n02691156_10151
30,30,37.17851,-8.783,2,4,0,n02691156_10151
31,31,13.40001,-8.64284,2,4,0,n02691156_10151
32,32,196.59542,-136.66165,1,5,0,n02691156_10151
33,33,11.65182,-26.34817,2,5,0,n02691156_10151
34,34,8.05267,-33.34284,2,5,0,n02691156_10151
35,35,19.94281,-1.64283,2,5,0,n02691156_10151
36,36,-9.05264,38.04284,2,5,0,n02691156_10151
37,37,-18.86929,27.1,2,5,0,n02691156_10151
38,38,-7.22088,-26.69867,1,6,0,n02691156_10151
39,39,-26.6785,-15.0225,2,6,0,n02691156_10151
40,40,-1.06433,3.931,2,6,0,n02691156_10151
41,41,-0.48248,9.89016,2,6,0,n02691156_10151
42,42,21.30399,27.49983,2,6,0,n02691156_10151
43,43,19.60799,-3.09848,1,7,0,n02691156_10151
44,44,61.46068,15.35135,2,7,0,n02691156_10151
45,45,-2.91132,17.04733,2,7,0,n02691156_10151
46,46,-43.43601,-2.45266,2,7,0,n02691156_10151
47,47,-27.11601,-14.66333,2,7,0,n02691156_10151
48,48,-180.77416,159.77312,1,8,0,n02691156_10151
49,49,4.29016,-0.05716,2,8,0,n02691156_10151
50,50,-13.71466,9.08401,2,8,0,n02691156_10151
51,51,-1.27466,10.29066,2,8,0,n02691156_10151
52,52,4.08932,6.7252,2,8,0,n02691156_10151
53,53,19.06399,8.46414,2,8,0,n02691156_10151
54,54,22.44665,-4.12799,2,8,0,n02691156_10151
55,55,5.38934,-22.83598,2,8,0,n02691156_10151
56,56,-30.71598,-1.51603,1,9,0,n02691156_10151
57,57,-2.26316,15.39517,2,9,0,n02691156_10151
58,58,4.14582,2.35415,2,9,0,n02691156_10151
59,59,12.83334,1.0,2,9,0,n02691156_10151
60,60,4.0,-16.13334,2,9,0,n02691156_10151
61,61,-117.5,-126.69999,1,10,0,n02691156_10151
62,62,-9.784,1.916,2,10,0,n02691156_10151
63,63,-6.71467,6.88536,2,10,0,n02691156_10151
64,64,-2.00133,20.79866,2,10,0,n02691156_10151
65,65,4.09984,4.40017,2,10,0,n02691156_10151
66,66,12.91083,-20.38952,1,11,0,n02691156_10151
67,67,-2.91083,16.38949,2,11,0,n02691156_10151
68,68,-64.89984,76.19985,1,12,0,n02691156_10151
69,69,12.8,14.5,2,12,0,n02691156_10151
70,70,-8.64735,-0.75269,2,12,0,n02691156_10151
71,71,-2.75,-9.86066,2,12,0,n02691156_10151
72,72,8.73336,9.37053,2,12,0,n02691156_10151
73,73,-9.336,-13.95721,2,12,0,n02691156_10151
74,74,11.47916,14.0,2,12,0,n02691156_10151
75,75,-2.67917,-28.61463,1,13,0,n02691156_10151
